,site_id,building_id,primary_use,square_feet,floor_count,row_id,year_built,latent_y,latent_s,latent_r
0,10,1017,Technology,109263,6,1018,1971,29,4.26031,4
1,4,587,Technology,53234,5,588,1949,51,4.0271864,3
2,13,1081,Industrial,11470,1,1082,2005,5,4.0595636,4
3,13,1171,Industrial,56851,1,1172,2022,22,4.7547383,4
4,15,1340,Industrial,111518,1,1341,1975,25,5.047345,4
5,3,383,Warehouse,27318,1,384,1977,23,4.436449,3
6,13,1155,Warehouse,19059,1,1156,2012,12,4.2801003,4
7,2,164,Warehouse,12908,1,165,1986,14,4.110859,3
8,3,413,Warehouse,14839,1,414,2012,12,4.171405,3
9,13,1199,Warehouse,10559,1,1200,1983,17,4.023623,4
10,2,179,Restaurant,24867,1,180,2019,19,4.395623,3
11,14,1265,Restaurant,35605,1,1266,1986,14,4.551511,4
12,8,811,Community,4848,1,812,1996,4,3.6855626,4
13,8,834,Community,4934,1,835,2018,18,3.6931992,4
14,8,865,Community,10174,1,866,1981,19,4.0074916,4
15,8,866,Community,10174,1,867,1975,25,4.0074916,4
16,1,138,Community,118231,6,139,1990,10,4.2945766,2
17,4,603,Community,29063,3,604,2011,11,3.9861894,3
18,5,678,Community,60977,6,679,1983,17,4.006979,4
19,5,680,Community,9849,2,681,1983,17,3.692318,4
20,3,402,Community,2818,1,403,1973,27,3.449941,3
21,3,422,Community,8726,1,423,2004,4,3.9408152,3
22,3,427,Community,14269,1,428,1989,11,4.1543937,3
23,3,432,Community,103200,1,433,1973,27,5.0136795,3
24,3,441,Community,3267,1,442,2023,23,3.5141492,3
25,3,460,Community,17927,1,461,1992,8,4.2535076,3
26,3,466,Community,22500,1,467,1974,26,4.3521824,3
27,3,470,Community,24618,1,471,1981,19,4.391253,3
28,3,514,Community,12750,1,515,1999,1,4.10551,3
29,3,527,Community,9392,1,528,2017,17,3.972758,3
30,3,528,Community,11143,1,529,2007,7,4.0470023,3
31,3,531,Community,68203,1,532,2004,4,4.8338037,3
32,12,1047,Community,252952,1,1048,1967,33,5.403038,4
33,6,788,Community,401753,1,789,2006,6,5.603959,4
34,13,1104,Community,199722,1,1105,2018,18,5.300426,4
35,14,1271,Community,20540,1,1272,2000,0,4.3126006,4
36,3,361,Community,13224,1,362,1972,28,4.1213627,3
37,3,469,Community,13044,1,470,1920,80,4.115411,3
38,3,474,Community,10151,1,475,1973,27,4.006509,3
39,3,479,Community,43955,1,480,1985,15,4.643008,3
40,3,485,Community,22000,1,486,2014,14,4.3424225,3
41,3,518,Community,555243,1,519,1948,52,5.744483,3
42,3,519,Community,461647,1,520,1983,17,5.66431,3
43,3,529,Community,14519,1,530,1915,85,4.1619368,3
44,3,546,Community,400000,1,547,1978,22,5.60206,3
45,3,552,Community,20110,1,553,1943,57,4.303412,3
46,15,1376,Community,240026,1,1377,1967,33,5.380258,4
47,15,1442,Community,99541,1,1443,2000,0,4.998002,4
48,10,1025,Residential,52034,2,1026,2003,3,4.4152575,4
49,10,1027,Residential,35465,2,1028,2005,5,4.248758,4
