,building_id,meter_type,ts,value,row_id
0,163,c,2022-01-01 00:00:00.000,4.5719,3
1,170,c,2022-01-01 00:00:00.000,11.2891,8
2,171,c,2022-01-01 00:00:00.000,0.0,9
3,172,c,2022-01-01 00:00:00.000,0.0,10
4,174,c,2022-01-01 00:00:00.000,52.8583,12
5,175,c,2022-01-01 00:00:00.000,116.337,13
6,179,c,2022-01-01 00:00:00.000,0.0703,17
7,188,c,2022-01-01 00:00:00.000,6.1545,22
8,191,c,2022-01-01 00:00:00.000,82.8922,25
9,194,c,2022-01-01 00:00:00.000,11.5353,27
10,195,c,2022-01-01 00:00:00.000,24.1959,28
11,201,c,2022-01-01 00:00:00.000,267.14,32
12,202,c,2022-01-01 00:00:00.000,98.1905,33
13,208,c,2022-01-01 00:00:00.000,0.1055,39
14,210,c,2022-01-01 00:00:00.000,25.9192,41
15,217,c,2022-01-01 00:00:00.000,95.0253,47
16,226,c,2022-01-01 00:00:00.000,17.0567,54
17,231,c,2022-01-01 00:00:00.000,511.877,57
18,233,c,2022-01-01 00:00:00.000,0.0,58
19,238,c,2022-01-01 00:00:00.000,24.6179,63
20,248,c,2022-01-01 00:00:00.000,11.1484,70
21,260,c,2022-01-01 00:00:00.000,132.128,81
22,265,c,2022-01-01 00:00:00.000,17.6546,84
23,268,c,2022-01-01 00:00:00.000,0.1055,86
24,753,c,2022-01-01 00:00:00.000,0.0,99
25,780,c,2022-01-01 00:00:00.000,0.0,104
26,794,c,2022-01-01 00:00:00.000,0.0,111
27,796,c,2022-01-01 00:00:00.000,12.25,113
28,798,c,2022-01-01 00:00:00.000,57.58,115
29,878,c,2022-01-01 00:00:00.000,0.0,123
30,889,c,2022-01-01 00:00:00.000,0.0,131
31,890,c,2022-01-01 00:00:00.000,0.0,132
32,891,c,2022-01-01 00:00:00.000,0.0,133
33,893,c,2022-01-01 00:00:00.000,0.0,134
34,895,c,2022-01-01 00:00:00.000,0.0,136
35,896,c,2022-01-01 00:00:00.000,0.0,137
36,900,c,2022-01-01 00:00:00.000,0.0,140
37,901,c,2022-01-01 00:00:00.000,0.0,141
38,905,c,2022-01-01 00:00:00.000,0.0,143
39,907,c,2022-01-01 00:00:00.000,0.0,145
40,910,c,2022-01-01 00:00:00.000,0.0,147
41,914,c,2022-01-01 00:00:00.000,0.0,151
42,915,c,2022-01-01 00:00:00.000,0.0,152
43,918,c,2022-01-01 00:00:00.000,0.0,155
44,926,c,2022-01-01 00:00:00.000,0.0,162
45,929,c,2022-01-01 00:00:00.000,0.0,165
46,931,c,2022-01-01 00:00:00.000,0.0,166
47,932,c,2022-01-01 00:00:00.000,0.0,167
48,933,c,2022-01-01 00:00:00.000,0.0,168
49,934,c,2022-01-01 00:00:00.000,0.0,169
